Store_Name,Categories,Location,Zip_Code,Price,Rating,Review_Count,geometry,State,County,City,Name,RegionID,price_int,chain,strictly_coffee,coffee_is_cat,breakfast_and_brunch,bakeries,diner,deli,ice_cream_and_froyo,juice_and_smoothie,primary_category
Brash Coffee,['Coffee & Tea'],"(33.842003, -84.386072)",30305.0,$$,5.0,8,POINT (-84.386072 33.842003),GA,Fulton,Atlanta,Peachtree Heights West,269406,2,False,True,True,False,False,False,False,False,False,strictly_coffee
Karma Daisy,"['Breakfast & Brunch', 'Coffee & Tea', 'American (New)']","(33.83683, -84.38302)",30305.0,$$,4.5,18,POINT (-84.38302 33.83683),GA,Fulton,Atlanta,Peachtree Heights West,269406,2,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Starbucks,['Coffee & Tea'],"(33.835368851069, -84.382662088102)",30305.0,$,3.0,32,POINT (-84.38266208810199 33.835368851069),GA,Fulton,Atlanta,Peachtree Heights West,269406,1,True,True,True,False,False,False,False,False,False,chain
Octane Atlanta Tech Village,"['Coffee & Tea', 'Cocktail Bars', 'Cafes']","(33.84866, -84.37333)",30305.0,$,4.0,95,POINT (-84.37333 33.84866),GA,Fulton,Atlanta,North Buckhead,269391,1,False,False,True,False,False,False,False,False,False,other
Ebar,['Coffee & Tea'],"(33.85282, -84.3622556)",30326.0,$,4.0,14,POINT (-84.3622556 33.85282),GA,Fulton,Atlanta,North Buckhead,269391,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Starbucks,['Coffee & Tea'],"(33.8445899, -84.37112)",30305.0,$$,4.5,15,POINT (-84.37112 33.8445899),GA,Fulton,Atlanta,North Buckhead,269391,2,True,True,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.8521275, -84.3608182)",30326.0,$$,3.0,22,POINT (-84.3608182 33.8521275),GA,Fulton,Atlanta,North Buckhead,269391,2,True,True,True,False,False,False,False,False,False,chain
Duck Donuts,"['Donuts', 'Coffee & Tea', 'Breakfast & Brunch']","(33.8546997, -84.3822644)",30342.0,$,4.5,70,POINT (-84.3822644 33.8546997),GA,Fulton,Atlanta,North Buckhead,269391,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Starbucks,['Coffee & Tea'],"(33.8717484480407, -84.3805868406763)",30342.0,$$,3.0,28,POINT (-84.3805868406763 33.8717484480407),GA,Fulton,Atlanta,North Buckhead,269391,2,True,True,True,False,False,False,False,False,False,chain
SIP The Experience,"['Coffee & Tea', 'Desserts', 'Breakfast & Brunch']","(33.8227371955403, -84.3698813994055)",30324.0,$,4.0,242,POINT (-84.3698813994055 33.8227371955403),GA,Fulton,Atlanta,Lindbergh,403406,1,False,False,True,True,False,False,False,False,False,breakfast_and_brunch
Starbucks,['Coffee & Tea'],"(33.825598, -84.365492)",30324.0,$,3.5,46,POINT (-84.365492 33.825598),GA,Fulton,Atlanta,Lindbergh,403406,1,True,True,True,False,False,False,False,False,False,chain
Dunkin' Donuts,"['Coffee & Tea', 'Donuts']","(33.8222461171158, -84.3677098670103)",30324.0,$,2.5,46,POINT (-84.3677098670103 33.8222461171158),GA,Fulton,Atlanta,Lindbergh,403406,1,True,False,True,False,False,False,False,False,False,chain
Mae's Bakery,"['Bakeries', 'Coffee & Tea', 'Custom Cakes']","(33.8304815465522, -84.3563602004049)",30324.0,$$,4.0,106,POINT (-84.35636020040489 33.8304815465522),GA,Fulton,Atlanta,Pine Hills,403405,2,False,False,True,False,True,False,False,False,False,bakeries
Embilta,"['Coffee & Tea', 'Ethiopian']","(33.812778, -84.354728)",30324.0,$,5.0,8,POINT (-84.35472799999999 33.812778),GA,Fulton,Atlanta,Lindridge - Martin Manor,403426,1,False,False,True,False,False,False,False,False,False,other
McDonald's,"['Fast Food', 'Burgers', 'Coffee & Tea']","(33.8199047459575, -84.3518391251564)",30324.0,$,2.0,43,POINT (-84.3518391251564 33.8199047459575),GA,Fulton,Atlanta,Lindridge - Martin Manor,403426,1,True,False,True,False,False,False,False,False,False,chain
Dancing Goats Coffee Bar,['Coffee & Tea'],"(33.8405783477833, -84.3759589857926)",30305.0,$,3.0,10,POINT (-84.37595898579259 33.8405783477833),GA,Fulton,Atlanta,Buckhead Village,269278,1,False,True,True,False,False,False,False,False,False,strictly_coffee
Kale Me Crazy,"['Juice Bars & Smoothies', 'Salad', 'Coffee & Tea']","(33.8405047935848, -84.3756864420061)",30305.0,$$,3.5,49,POINT (-84.3756864420061 33.8405047935848),GA,Fulton,Atlanta,Buckhead Village,269278,2,False,False,True,False,False,False,False,False,True,juice_and_smoothie
Caribou Coffee,['Coffee & Tea'],"(33.84405, -84.3700099)",30305.0,$,3.5,111,POINT (-84.3700099 33.84405),GA,Fulton,Atlanta,Peachtree Park,269408,1,True,True,True,False,False,False,False,False,False,chain
Highland Bakery,"['Breakfast & Brunch', 'Bakeries', 'Coffee & Tea']","(33.8479863, -84.3668262)",30326.0,$$,3.0,190,POINT (-84.36682620000001 33.8479863),GA,Fulton,Atlanta,Lenox,403404,2,False,False,True,True,True,False,False,False,False,bakeries
Starbucks,['Coffee & Tea'],"(33.8470442715585, -84.3626902566883)",30326.0,$$,3.0,35,POINT (-84.3626902566883 33.8470442715585),GA,Fulton,Atlanta,Lenox,403404,2,True,True,True,False,False,False,False,False,False,chain
Bubbleology,"['Bubble Tea', 'Coffee & Tea']","(33.846866607666, -84.36376953125)",30326.0,$$,2.5,67,POINT (-84.36376953125 33.846866607666),GA,Fulton,Atlanta,Lenox,403404,2,False,False,True,False,False,False,False,False,False,other
Starbucks,['Coffee & Tea'],"(33.8188287541286, -84.3883759390938)",30305.0,$,3.0,60,POINT (-84.38837593909381 33.8188287541286),GA,Fulton,Atlanta,Peachtree Hills,269407,1,True,True,True,False,False,False,False,False,False,chain
Cafe Lapin,"['Brasseries', 'French', 'Coffee & Tea']","(33.8190064384197, -84.3869660513122)",30305.0,$$,3.5,91,POINT (-84.3869660513122 33.8190064384197),GA,Fulton,Atlanta,Peachtree Hills,269407,2,False,False,True,False,False,False,False,False,False,other
McDonald's,"['Burgers', 'Fast Food', 'Coffee & Tea']","(33.8351598212632, -84.3817041814327)",30305.0,$,2.0,31,POINT (-84.3817041814327 33.8351598212632),GA,Fulton,Atlanta,Garden Hills,269325,1,True,False,True,False,False,False,False,False,False,chain
Starbucks,['Coffee & Tea'],"(33.8463624422067, -84.3730944761422)",30305.0,$,3.0,78,POINT (-84.3730944761422 33.8463624422067),GA,Fulton,Atlanta,Buckhead Forest,269277,1,True,True,True,False,False,False,False,False,False,chain
Ébrìk Coffee Room,"['Coffee & Tea', 'Bakeries']","(33.7552477504863, -84.3881651478313)",30303.0,$,4.5,274,POINT (-84.3881651478313 33.7552477504863),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,False,True,False,False,False,False,bakeries
Cafe Lucia,"['Coffee & Tea', 'Bagels', 'Juice Bars & Smoothies']","(33.755814, -84.389904)",30303.0,$,4.5,77,POINT (-84.389904 33.755814),GA,Fulton,Atlanta,Downtown,269306,1,False,False,True,False,False,False,False,False,True,juice_and_smoothie
