,State,County,City,Name,search_term
0,GA,Fulton,Atlanta,Brentwood,"Brentwood, Atlanta"
1,GA,Fulton,Atlanta,Chattahoochee,"Chattahoochee, Atlanta"
2,GA,Fulton,Atlanta,The Villages at Carver,"The Villages at Carver, Atlanta"
3,GA,Fulton,Atlanta,Riverside,"Riverside, Atlanta"
4,GA,Fulton,Atlanta,Adair Park,"Adair Park, Atlanta"
5,GA,Fulton,Atlanta,Amal Heights,"Amal Heights, Atlanta"
6,GA,Fulton,Atlanta,Atkins Park,"Atkins Park, Atlanta"
7,GA,Fulton,Atlanta,Audobon Forest,"Audobon Forest, Atlanta"
8,GA,Fulton,Atlanta,Bankhead Courts,"Bankhead Courts, Atlanta"
9,GA,Fulton,Atlanta,Ben Hill Forest,"Ben Hill Forest, Atlanta"
10,GA,Fulton,Atlanta,Ben Hill Terrace,"Ben Hill Terrace, Atlanta"
11,GA,Fulton,Atlanta,Boulder Park,"Boulder Park, Atlanta"
12,GA,Fulton,Atlanta,Campbellton Road,"Campbellton Road, Atlanta"
13,GA,Fulton,Atlanta,Ben Hill Pines,"Ben Hill Pines, Atlanta"
14,GA,Fulton,Atlanta,Boulevard Heights,"Boulevard Heights, Atlanta"
15,GA,Fulton,Atlanta,Brandon,"Brandon, Atlanta"
16,GA,Dekalb,Atlanta,Woodland Hills,"Woodland Hills, Atlanta"
17,GA,Fulton,Atlanta,West End,"West End, Atlanta"
18,GA,Fulton,Atlanta,Adams Park,"Adams Park, Atlanta"
19,GA,Fulton,Atlanta,Almond Park,"Almond Park, Atlanta"
20,GA,Fulton,Atlanta,Audobon Forest West,"Audobon Forest West, Atlanta"
21,GA,Fulton,Atlanta,Bankhead,"Bankhead, Atlanta"
22,GA,Fulton,Atlanta,Collier Hills North,"Collier Hills North, Atlanta"
23,GA,Fulton,Atlanta,Mays,"Mays, Atlanta"
24,GA,Fulton,Atlanta,Fairburn Mays,"Fairburn Mays, Atlanta"
25,GA,Fulton,Atlanta,Fairburn,"Fairburn, Atlanta"
26,GA,Fulton,Atlanta,Fairway Acres,"Fairway Acres, Atlanta"
27,GA,Fulton,Atlanta,Butner-Tell,"Butner-Tell, Atlanta"
28,GA,Fulton,Atlanta,Fairburn Tell,"Fairburn Tell, Atlanta"
29,GA,Fulton,Atlanta,Oakland,"Oakland, Atlanta"
30,GA,Fulton,Atlanta,State Facility,"State Facility, Atlanta"
31,GA,Fulton,Atlanta,Grove Park,"Grove Park, Atlanta"
32,GA,Fulton,Atlanta,Sylvan Hills,"Sylvan Hills, Atlanta"
33,GA,Fulton,Atlanta,West Lake,"West Lake, Atlanta"
34,GA,Fulton,Atlanta,Rockdale,"Rockdale, Atlanta"
35,GA,Fulton,Atlanta,Cabbagetown,"Cabbagetown, Atlanta"
36,GA,Fulton,Atlanta,Brookwood Hills,"Brookwood Hills, Atlanta"
37,GA,Fulton,Atlanta,Briar Glen,"Briar Glen, Atlanta"
38,GA,Fulton,Atlanta,Bolton,"Bolton, Atlanta"
39,GA,Fulton,Atlanta,Fort McPherson,"Fort McPherson, Atlanta"
40,GA,Fulton,Atlanta,Polar Rock,"Polar Rock, Atlanta"
41,GA,Fulton,Atlanta,Reynoldstown,"Reynoldstown, Atlanta"
42,GA,Fulton,Atlanta,Ridgecrest Forest,"Ridgecrest Forest, Atlanta"
43,GA,Fulton,Atlanta,Scotts Crossing,"Scotts Crossing, Atlanta"
44,GA,Fulton,Atlanta,Tampa Park,"Tampa Park, Atlanta"
45,GA,Fulton,Atlanta,Underwood Hills,"Underwood Hills, Atlanta"
46,GA,Fulton,Atlanta,Fort Valley,"Fort Valley, Atlanta"
47,GA,Fulton,Atlanta,Pomona Park,"Pomona Park, Atlanta"
48,GA,Fulton,Atlanta,Blair Villa - Poole Creek,"Blair Villa - Poole Creek, Atlanta"
49,GA,Cobb,Atlanta,Atlanta Industrial Park,"Atlanta Industrial Park, Atlanta"
50,GA,Fulton,Atlanta,West Manor,"West Manor, Atlanta"
51,GA,Fulton,Atlanta,Virginia Highland,"Virginia Highland, Atlanta"
52,GA,Fulton,Atlanta,Atlanta University Center,"Atlanta University Center, Atlanta"
53,GA,Fulton,Atlanta,Chosewood Park,"Chosewood Park, Atlanta"
54,GA,Fulton,Atlanta,Mt. Paran Pkwy,"Mt. Paran Pkwy, Atlanta"
55,GA,Fulton,Atlanta,Lindbergh,"Lindbergh, Atlanta"
56,GA,Fulton,Atlanta,Marietta Street Artery,"Marietta Street Artery, Atlanta"
57,GA,Fulton,Atlanta,Lindridge - Martin Manor,"Lindridge - Martin Manor, Atlanta"
